ID,Player,TEAM,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,W,L,SO,GAA,Sv%,CLAUSE,EXPIRY,CAP HIT,SALARY
1, Connor McDavid,EDM,21,C,Left,78,41,75,116,1.49,3,240,0.17,22:50,33.83,240,423,327,1.13,8.08,14.25,11.01,-,-,-,-,-,,UFA,"$12,500,000","$15,000,000"
2, John Tavares,TOR,27,C,Left,82,47,41,88,1.07,19,286,0.16,19:05,40.88,286,485,401,1.57,10.96,18.59,15.37,-,-,-,-,-,NMC,UFA,"$11,000,000","$15,900,000"
3, Patrick Kane,CHI,29,RW,Left,81,44,66,110,1.36,2,341,0.13,22:29,34.21,341,598,454,1.12,11.23,19.7,14.96,-,-,-,-,-,NMC,UFA,"$10,500,000","$12,000,000"
4, Jonathan Toews,CHI,30,C,Left,82,35,46,81,0.99,2,235,0.15,21:00,27.54,236,355,291,0.96,8.22,12.37,10.14,-,-,-,-,-,NMC,UFA,"$10,500,000","$12,000,000"
5, Carey Price,MTL,30,G,Left,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,24,4,2.49,0.918,NMC,UFA,"$10,500,000","$15,000,000"
6, William Nylander,TOR,22,"RW, LW",Right,54,7,20,27,0.5,-4,130,0.05,15:30,13.52,130,246,190,0.97,9.31,17.62,13.61,-,-,-,-,-,,UFA,"$10,277,778","$12,000,000"
7, Anze Kopitar,LAK,30,C,Left,81,22,38,60,0.74,-20,156,0.14,22:18,20.68,156,298,227,0.69,5.18,9.9,7.54,-,-,-,-,-,NMC,UFA,"$10,000,000","$12,000,000"
8, Jack Eichel,BUF,21,C,Right,77,28,54,82,1.06,-11,303,0.09,20:26,27.83,303,485,392,1.06,11.55,18.48,14.94,-,-,-,-,-,,UFA,"$10,000,000","$10,000,000"
9, Alex Ovechkin,WSH,32,"LW, RW",Right,81,51,38,89,1.1,7,338,0.15,20:55,37.49,338,668,501,1.33,11.97,23.65,17.73,-,-,-,-,-,M-NTC,UFA,"$9,538,462","$10,000,000"
10, Evgeni Malkin,PIT,31,C,Left,68,21,51,72,1.06,-25,187,0.11,18:48,19.85,188,324,245,0.93,8.82,15.2,11.5,-,-,-,-,-,NMC,UFA,"$9,500,000","$9,500,000"
11, Jamie Benn,DAL,28,LW,Left,78,27,26,53,0.68,14,189,0.14,18:13,26.53,189,329,255,1.12,7.98,13.88,10.76,-,-,-,-,-,NMC,UFA,"$9,500,000","$13,000,000"
12,P.K. Subban,NJD,29,RD,Right,63,9,22,31,0.49,5,168,0.05,22:39,5.82,168,306,226,0.24,7.06,12.86,9.5,-,-,-,-,-,,UFA,"$9,000,000","$10,000,000"
13, Sidney Crosby,PIT,30,C,Left,79,35,65,100,1.27,18,220,0.16,20:59,29.81,220,348,290,1.08,7.96,12.59,10.49,-,-,-,-,-,NMC,UFA,"$8,700,000","$10,000,000"
14, Steven Stamkos,TBL,28,"C, RW",Right,82,45,53,98,1.2,4,234,0.19,18:18,25.51,234,425,328,1.02,9.36,16.98,13.11,-,-,-,-,-,NMC,UFA,"$8,500,000","$9,500,000"
15, Leon Draisaitl,EDM,22,"C, LW, RW",Left,82,50,55,105,1.28,2,231,0.22,22:35,30.07,231,404,311,0.97,7.48,13.09,10.07,-,-,-,-,-,,UFA,"$8,500,000","$9,000,000"
16, Henrik Lundqvist,NYR,36,G,Left,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,23,0,3.07,0.907,NMC,UFA,"$8,500,000","$7,500,000"
17, Claude Giroux,PHI,30,"LW, C, RW",Right,82,22,63,85,1.04,9,229,0.1,21:27,18.26,229,419,317,0.62,7.81,14.29,10.81,-,-,-,-,-,NMC,UFA,"$8,275,000","$9,000,000"
18, Ryan Getzlaf,ANA,33,C,Right,67,14,34,48,0.72,-19,133,0.11,19:27,12.51,133,271,208,0.57,6.12,12.47,9.57,-,-,-,-,-,NMC,UFA,"$8,250,000","$8,950,000"
19, Jakub Voracek,PHI,28,"RW, LW",Left,78,20,46,66,0.85,-16,210,0.1,18:40,19.77,210,383,285,0.81,8.65,15.78,11.74,-,-,-,-,-,,UFA,"$8,250,000","$9,250,000"
